Florets,White-top,Purple-top,White-side,Purple-side
0,0.149671053,0.115656963,0.207734807,0.163860831
1,0.069078947,0.071597168,0.049723757,0.07295174
2,0.061677632,0.068450039,0.061878453,0.068462402
3,0.057565789,0.061369001,0.059668508,0.059483726
4,0.060855263,0.075531078,0.085082873,0.079685746
5,0.064967105,0.043273013,0.060773481,0.067340067
6,0.048519737,0.062155783,0.054143646,0.049382716
7,0.069078947,0.062942565,0.049723757,0.048260382
8,0.076480263,0.073957514,0.070718232,0.078563412
9,0.059210526,0.064516129,0.04198895,0.038159371
10,0.050164474,0.055074744,0.034254144,0.039281706
11,0.046052632,0.048780488,0.039779006,0.042648709
12,0.055098684,0.056648308,0.051933702,0.067340067
13,0.053453947,0.043273013,0.037569061,0.039281706
14,0.027138158,0.031471282,0.032044199,0.028058361
15,0.024671053,0.019669552,0.028729282,0.017957351
16,0.009046053,0.018095987,0.017679558,0.015712682
17,0.004111842,0.011014949,0.006629834,0.007856341
18,0.005756579,0.008654603,0.005524862,0.011223345
19,0.004111842,0.004720692,0.001104972,0.002244669
20,0,0.002360346,0.001104972,0.001122334
21,0.001644737,0.000786782,0,0
22,0,0,0,0
23,0.000822368,0,0.002209945,0
24,0,0,0,0.001122334
25,0.000822368,0,0,0
