Florets,White-top,Purple-top,White-side,Purple-side,,Inflorescences,Top,Side
X,N,N,N,N,,X,N,N
0,182,147,188,146,,0,0,0
1,84,91,45,65,,1,1,3
2,75,87,56,61,,2,2,3
3,70,78,54,53,,3,0,6
4,74,96,77,71,,4,4,8
5,79,55,55,60,,5,4,12
6,59,79,49,44,,6,10,15
7,84,80,45,43,,7,10,11
8,93,94,64,70,,8,8,15
9,72,82,38,34,,9,10,14
10,61,70,31,35,,10,8,10
11,56,62,36,38,,11,15,13
12,67,72,47,60,,12,11,10
13,65,55,34,35,,13,12,11
14,33,40,29,25,,14,10,5
15,30,25,26,16,,15,3,13
16,11,23,16,14,,16,12,3
17,5,14,6,7,,17,7,4
18,7,11,5,10,,18,8,3
19,5,6,1,2,,19,4,2
20,0,3,1,1,,20,3,3
21,2,1,0,0,,21,5,2
22,0,0,0,0,,22,3,0
23,1,0,2,0,,23,5,3
24,0,0,0,1,,24,4,1
25,1,0,0,0,,25,2,0
,,,,,,26,3,0
,,,,,,27,0,1
,,,,,,28,3,0
,,,,,,29,0,0
,,,,,,30,1,1
,,,,,,31,0,0
,,,,,,32,2,0
,,,,,,33,1,1
,,,,,,34,0,0
,,,,,,35,0,0
,,,,,,36,1,0
,,,,,,37,0,0
,,,,,,38,1,0
,,,,,,39,0,0
,,,,,,40,1,0
