STATION,LATITUDE,LONGITUDE,DATE,SST,SSS,ALKALI,PH_TOT,PH_TMP,TCARBN,FCO2,PCO2
,,,,DEG_C,,UMOL/KG,,,UMOL/KG,UATM,UATM
ESTOC,29.066,-15.833,1995.7507,23.023,36.916,2415.68,8.0474,25,2089.11,376.42,377.65
ESTOC,29.066,-15.833,1995.7562,23.319,36.948,2418.19,8.0496,25,2089.71,378.80,380.04
ESTOC,29.066,-15.833,1995.7644,23.281,36.938,2416.17,8.0460,25,2090.26,381.87,383.11
ESTOC,29.066,-15.833,1995.9014,22.278,36.911,2414.40,8.0434,25,2090.49,369.25,370.43
ESTOC,29.066,-15.833,1996.0656,19.196,36.738,2403.19,8.0250,25,2093.08,341.91,343.06
ESTOC,29.066,-15.833,1996.0956,19.026,36.716,2405.95,8.0224,25,2097.37,342.54,343.72
ESTOC,29.066,-15.833,1996.1038,19.029,36.732,2405.42,8.0256,25,2094.76,339.26,340.43
ESTOC,29.066,-15.833,1996.2049,18.37,36.59,2398.53,8.0261,25,2089.27,329.14,330.24
ESTOC,29.066,-15.833,1996.3142,19.072,36.849,2409.08,8.0196,25,2100.91,346.00,347.15
ESTOC,29.066,-15.833,1996.3716,20.058,36.874,2414.30,8.0276,25,2100.56,352.96,354.12
ESTOC,29.066,-15.833,1996.377,20.067,36.825,2413.09,8.0283,25,2099.38,352.29,353.49
ESTOC,29.066,-15.833,1996.3907,19.843,36.798,2411.01,8.0268,25,2098.65,350.37,351.56
ESTOC,29.066,-15.833,1996.4481,20.46,36.834,2414.36,8.0303,25,2099.24,356.19,357.37
ESTOC,29.066,-15.833,1996.5219,21.034,36.831,2414.22,8.0387,25,2093.90,356.00,357.17
ESTOC,29.066,-15.833,1996.7404,23.394,36.92,2419.78,8.0558,25,2087.41,373.65,374.83
ESTOC,29.066,-15.833,1996.8306,22.842,36.851,2415.69,8.0457,25,2090.66,375.65,376.88
ESTOC,29.066,-15.833,1996.9617,20.541,36.889,2415.70,8.0416,25,2093.00,346.12,347.25
