SST (DEG_C),PH_TOT,PCO2
23.023,8.0474,377.65
23.319,8.0496,380.04
23.281,8.046,383.11
22.278,8.0434,370.43
19.196,8.025,343.06
19.026,8.0224,343.72
19.029,8.0256,340.43
18.37,8.0261,330.24
19.072,8.0196,347.15
20.058,8.0276,354.12
20.067,8.0283,353.49
19.843,8.0268,351.56
20.46,8.0303,357.37
21.034,8.0387,357.17
23.394,8.0558,374.83
22.842,8.0457,376.88
20.541,8.0416,347.25
19.467,8.033,340.15
19.11,8.0122,354.46
19.963,8.0279,352.57
20.676,8.0341,357.06
22.319,8.0359,379.88
22.318,8.0382,377.66
22.515,8.0362,381.65
23.368,8.0504,379.07
22.171,8.0418,370.94
20.44,8.0325,355.04
19.615,8.0316,343.87
19.789,8.023,354.42
19.729,8.023,353.62
19.605,8.0272,348
19.784,8.019,358.62
21.003,8.0277,367.26
21.315,8.0293,370.47
23.437,8.044,387.44
23.616,8.0444,389.69
22.005,8.0456,363.64
20.145,8.0364,346.1
18.589,8.0264,333.73
17.922,8.0267,324.06
17.881,8.0262,323.76
17.997,8.0174,333.3
23.415,8.0445,386.45
22.635,8.0423,375.65
18.342,8.0271,328.66
18.659,8.0247,336.24
18.79,8.0194,343.8
18.822,8.013,350.27
21.602,8.0311,372.96
22.93,8.0443,379.55
23.044,8.0436,382.49
21.094,8.0387,358.32
20.983,8.0301,365.4
18.997,8.0085,356.88
18.997,8.0077,357.65
18.919,8.0095,354.65
18.995,8.0109,354.57
18.995,8.0148,350.53
19.102,8.0152,351.72
19.744,8.0233,352.88
21.335,8.0263,372.97
24.146,8.0447,397.92
24.604,8.048,402.27
24.126,8.0471,394.13
18.901,8.0164,347.31
18.87,8.0182,346.03
18.87,8.0187,345.48
19.032,8.0253,340.77
20.522,8.0209,366.85
22.599,8.0332,384.78
23.513,8.0401,393.93
22.111,8.0294,382.7
19.605,8.0121,362.28
18.787,8.0059,356.3
18.651,8.0101,350.02
18.792,8.0144,347.63
19.518,8.0227,350.63
19.252,8.0223,346.85
21.077,8.0252,371.67
22.9,8.0388,385.62
23.796,8.0382,399.09
23.401,8.0296,402.53
22.753,8.0208,400.79
19.37,8.0082,362.84
19.37,8.0023,373.46
19.0758,8.0072,358.5
19.4591,8.0057,369.31
19.4844,8.0125,360.09
23.65,8.0357,406.02
21.1151,8.0357,370.62
18.249,8.0074,348.72
18.044,8.002,349.14
18.2689,8.0001,354.18
19.14,8.0106,357.17
22.055,8.0302,380.96
22.85,8.0327,387.1
23.687,8.0361,403.25
23.771,8.0378,398.14
23.86,8.0386,400.89
23.687,8.038,400
22.036,8.03,380.24
20.7898,8.0218,369.78
19.99,8.0188,360.17
19.53,8.0192,354.16
17.87,8.002,347.19
17.818,8.0014,359.44
19.34,8.0043,366.55
20.121,8.0085,370.7
21.643,8.0207,383.68
21.41,8.0213,378.8
22.14,8.025,387.02
23.05,8.0271,404.14
23.775,8.0329,410.21
24.24,8.0418,400.85
24.55,8.0386,410.53
23.0507,8.032,394.36
20.389,8.0241,361.2
19.778,8.0196,356.85
18.54,8.014,354.7
18.57,8.0003,361.07
18.63,8.0042,362.5
19.691,8.0113,363.82
19.966,8.0078,371.5
20.7,8.0133,377.19
22.492,8.0252,392.64
23.83,8.0345,405.48
23.633,8.038,396.29
23.207,8.0371,390.02
22.9316,8.0298,398.6
19.2887,8.0147,356
19.103,8.0127,350.01
19.212,8.0021,366.68
19.709,8.0042,367.38
22.6635,8.0325,388.03
20.19,8.0085,376.13
20.1331,8.0095,374.99
18.9116,8.0035,366.76
18.4337,7.9989,358.05
18.8935,7.9996,366.11
18.6697,8.006,353.43
19.297,8.009,367.21
23.977,8.0253,412.62
23.216,8.032,412.55
