Mass (g),Relative Order (n),Left [mm],Right [mm],Up [mm],Down [mm]
0,1,7.81,10.01,10.82,13.07
0,2,7.73,10.10,10.73,13.17
0,3,7.63,10.19,10.65,13.26
0,4,7.55,10.27,10.56,13.35
0,5,7.48,10.33,10.49,13.43
0,6,7.42,10.40,10.42,13.50
0,7,7.34,10.46,10.35,13.56
0,8,7.28,10.52,10.27,13.61
0,9,7.22,10.59,10.21,13.68
0,10,7.17,10.65,10.15,13.74
0,11,7.10,10.71,10.09,13.80
0,12,7.05,10.76,10.04,13.85
50.2,1,4.87,6.51,8.41,10.80
50.2,2,4.75,6.60,8.32,10.89
50.2,3,4.68,6.68,8.25,10.96
50.2,4,4.60,6.75,8.16,11.05
50.2,5,4.53,6.81,8.09,11.11
50.2,6,4.47,6.88,8.02,11.19
50.2,7,4.40,6.94,7.95,11.26
50.2,8,4.35,7.00,7.88,11.33
50.2,9,4.29,7.05,7.81,11.39
50.2,10,4.24,7.11,7.75,11.45
50.2,11,4.19,7.17,7.70,11.50
50.2,12,4.14,7.23,7.64,11.55
100.4,1,7.57,9.68,7.79,10.18
100.4,2,7.47,9.76,7.70,10.27
100.4,3,7.34,9.83,7.61,10.35
100.4,4,7.26,9.90,7.53,10.44
100.4,5,7.20,9.96,7.46,10.52
100.4,6,7.14,10.03,7.38,10.59
100.4,7,7.08,10.09,7.31,10.66
100.4,8,7.02,10.14,7.24,10.72
100.4,9,6.97,10.20,7.18,10.79
100.4,10,6.92,10.25,7.11,10.85
100.4,11,6.87,10.30,7.05,10.91
150.6,1,7.54,10.11,7.88,10.31
150.6,2,7.47,10.19,7.79,10.41
150.6,3,7.40,10.26,7.69,10.49
150.6,4,7.33,10.32,7.60,10.58
150.6,5,7.27,10.39,7.53,10.66
150.6,6,7.22,10.45,7.45,10.73
150.6,7,7.16,10.51,7.38,10.80
150.6,8,7.10,10.56,7.32,10.86
150.6,9,7.04,10.62,7.25,10.92
150.6,10,6.99,10.67,7.19,10.98
150.6,11,6.94,10.72,7.13,11.05
150.6,12,6.89,10.77,7.06,11.10
200.4,1,7.56,10.06,8.27,10.79
200.4,2,7.50,10.13,8.19,10.88
200.4,3,7.43,10.21,8.11,10.96
200.4,4,7.37,10.27,8.03,11.04
200.4,5,7.31,10.33,7.95,11.12
200.4,6,7.25,10.39,7.87,11.20
200.4,7,7.20,10.44,7.80,11.27
200.4,8,7.15,10.50,7.73,11.34
200.4,9,7.09,10.55,7.65,11.40
200.4,10,7.04,10.60,7.59,11.46
200.4,11,7.00,10.65,7.53,11.51
