Droplet No.,Fall Time (s),Rise Time (s),Voltage (V)
1,6.6,5.2,142
1,5.9,5.5,142
1,5.7,5.2,142
1,5.7,4.9,142
1,6.3,5.5,142
1,6.3,5.7,142
2,4.8,5.0,185
2,4.8,5.2,185
2,5.0,5.3,185
2,4.8,5.4,185
2,4.7,5.1,185
3,6.0,4.3,559
3,6.1,4.8,559
3,6.0,4.2,559
3,6.2,4.3,559
3,6.0,4.5,559
4,5.3,5.8,359
4,5.3,5.9,359
4,5.4,6.1,359
4,5.0,6.0,359
4,4.9,6.3,359
5,15.1,6.6,443
5,14.3,6.3,443
5,15.6,6.6,443
5,15.6,6.7,443
5,19.0,6.6,443
6,12.0,3.5,262
6,11.5,3.4,262
6,12.0,3.3,262
6,12.9,3.4,262
6,11.3,3.4,262
7,11.7,5.4,138
7,11.8,5.0,138
7,10.4,5.1,138
7,11.5,5.1,138
7,12.0,5.3,138
7,12.5,5.3,138
8,12.2,6.3,605
8,12.6,6.3,605
8,12.9,6.1,605
8,12.2,6.3,605
8,12.3,6.0,605
9,10.3,4.3,330
9,11.3,4.1,330
9,10.4,4.2,330
9,10.1,4.3,330
9,11.1,3.9,330
9,11.1,4.2,330
