Top,Side
1,1
2,1
2,1
4,2
4,2
4,2
4,3
5,3
5,3
5,3
5,3
6,3
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
8,5
8,6
8,6
8,6
8,6
8,6
8,6
8,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,7
9,7
10,7
10,7
10,7
10,7
10,7
10,7
10,7
10,7
11,7
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
12,8
12,9
12,9
12,9
12,9
12,9
12,9
12,9
12,9
12,9
12,9
13,9
13,9
13,9
13,9
13,10
13,10
13,10
13,10
13,10
13,10
13,10
13,10
14,10
14,10
14,11
14,11
14,11
14,11
14,11
14,11
14,11
14,11
15,11
15,11
15,11
16,11
16,11
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
16,12
17,13
17,13
17,13
17,13
17,13
17,13
17,13
18,13
18,13
18,13
18,13
18,14
18,14
18,14
18,14
19,14
19,15
19,15
19,15
20,15
20,15
20,15
21,15
21,15
21,15
21,15
21,15
22,15
22,15
22,16
23,16
23,16
23,17
23,17
23,17
24,17
24,18
24,18
24,18
25,19
25,19
26,20
26,20
26,20
28,21
28,21
28,23
30,23
32,23
32,24
33,27
36,30
38,33
40,
