m,Color,Degree,Minute,Degree,Minute
1,Violet 1,14,15,194,12
1,Violet 2,14,20,194,18
1,Blue,15,20,195,15
1,Cyan 1,17,16,197,14
1,Cyan 2,17,29,197,29
1,Green,19,19,199,15
1,Yellowish Green,20,0,200,0
1,Yellow 1,20,20,200,20
1,Yellow 2,20,30,200,29
1,Orange,21,0,201,0
1,Red 1,21,35,201,35
1,Red 2,21,51,201,50
1,Red 3,22,0,201,57
2,Violet 1,29,12,209,10
2,Violet 2,31,15,211,15
2,Green,41,7,221,5
2,Yellow 1,44,0,224,0
2,Yellow 2,44,12,224,10
2,Red 1,47,40,227,40
2,Red 2,48,0,228,0
3,Violet,51,48,231,48
